iter	Passed	Remaining
0	220	330400
1	357	267891
2	509	254084
3	668	250082
4	819	245043
5	992	247187
6	1179	251674
7	1323	246767
8	1459	241844
9	1612	240231
10	1804	244244
11	1956	242633
12	2112	241643
13	2250	238853
14	2393	236977
15	2545	236079
16	2692	234910
17	2838	233694
18	2986	232788
19	3137	232211
20	3287	231544
21	3452	231936
22	3615	232195
23	3773	232050
24	3926	231678
25	4065	230473
26	4209	229657
27	4347	228543
28	4495	228021
29	4635	227129
30	4775	226286
31	4934	226370
32	5095	226499
33	5257	226674
34	5423	227002
35	5572	226595
36	5751	227401
37	5907	227279
38	6068	227346
39	6217	226953
40	6389	227382
41	6540	227039
42	6697	226950
43	6853	226798
44	7003	226436
45	7153	226103
46	7307	225913
47	7463	225768
48	7623	225749
49	7785	225767
50	7942	225663
51	8096	225448
52	8260	225530
53	8432	225805
54	8598	225914
55	8745	225514
56	8907	225497
57	9070	225507
58	9237	225607
59	9433	226400
60	9594	226329
61	9749	226125
62	9904	225910
63	10104	226726
64	10264	226608
65	10426	226535
66	10593	226580
67	10759	226573
68	10926	226602
69	11089	226540
70	11255	226540
71	11421	226518
72	11577	226314
73	11728	226003
74	11949	227049
75	12228	229123
76	12405	229266
77	12634	230337
78	12805	230335
79	12970	230227
80	13130	230033
81	13291	229840
82	13466	229898
83	13643	229989
84	13828	230198
85	14000	230192
86	14169	230134
87	14329	229922
88	14515	230121
89	14689	230128
90	14844	229839
91	15013	229766
92	15187	229769
93	15358	229722
94	15524	229599
95	15690	229467
96	15865	229470
97	16034	229387
98	16200	229259
99	16362	229078
100	16533	229019
101	16695	228821
102	16850	228550
103	17011	228343
104	17179	228245
105	17348	228144
106	17516	228046
107	17680	227886
108	17855	227860
109	18015	227650
110	18172	227405
111	18340	227294
112	18505	227146
113	18673	227029
114	18834	226838
115	18994	226624
116	19157	226446
117	19322	226307
118	19487	226154
119	19646	225933
120	19808	225756
121	19977	225649
122	20152	225611
123	20376	226114
124	20543	225976
125	20741	226178
126	20957	226577
127	21142	226617
128	21342	226827
129	21508	226670
130	21674	226507
131	21841	226356
132	22004	226170
133	22174	226045
134	22345	225939
135	22509	225759
136	22676	225607
137	22841	225436
138	23011	225310
139	23166	225049
140	23330	224866
141	23500	224741
142	23670	224617
143	23832	224421
144	23999	224271
145	24162	224084
146	24330	223940
147	24485	223681
148	24655	223553
149	24804	223237
150	24965	223032
151	25138	222942
152	25308	222814
153	25485	222748
154	25657	222637
155	25819	222440
156	25985	222280
157	26143	222054
158	26313	221928
159	26479	221769
160	26650	221648
161	26808	221417
162	26976	221274
163	27137	221069
164	27294	220838
165	27452	220608
166	27609	220377
167	27777	220238
168	27943	220077
169	28114	219951
170	28273	219738
171	28441	219592
172	28605	219418
173	28771	219262
174	28934	219073
175	29101	218920
176	29264	218736
177	29424	218534
178	29582	218313
179	29748	218155
180	29905	217929
181	30053	217638
182	30223	217508
183	30385	217324
184	30575	217333
185	30732	217108
186	30906	217003
187	31057	216743
188	31222	216578
189	31387	216407
190	31561	216304
191	31737	216211
192	31914	216127
193	32082	215980
194	32242	215775
195	32409	215621
196	32566	215404
197	32735	215263
198	32904	215119
199	33078	215009
200	33246	214862
201	33408	214676
202	33578	214538
203	33753	214432
204	33914	214238
205	34080	214077
206	34260	214007
207	34426	213842
208	34590	213668
209	34756	213506
210	34925	213359
211	35103	213269
212	35269	213107
213	35435	212941
214	35583	212673
215	35750	212516
216	35914	212342
217	36090	212236
218	36253	212060
219	36424	211927
220	36596	211798
221	36763	211639
222	36933	211496
223	37095	211311
224	37259	211134
225	37396	210812
226	37571	210697
227	37739	210543
228	37906	210388
229	38086	210305
230	38257	210166
231	38437	210079
232	38598	209887
233	38768	209745
234	38939	209612
235	39111	209476
236	39277	209315
237	39420	209030
238	39583	208848
239	39755	208716
240	39920	208545
241	40085	208380
242	40260	208263
243	40423	208083
244	40579	207864
245	40740	207678
246	40908	207523
247	41074	207362
248	41248	207236
249	41422	207113
250	41590	206958
251	41722	206623
252	41885	206446
253	42047	206266
254	42211	206092
255	42377	205927
256	42542	205758
257	42705	205580
258	42871	205420
259	43039	205263
260	43190	205029
261	43360	204885
262	43530	204743
263	43699	204594
264	43869	204446
265	44023	204229
266	44183	204037
267	44346	203863
268	44511	203695
269	44677	203529
270	44843	203368
271	45014	203228
272	45183	203078
273	45336	202856
274	45509	202726
275	45885	203491
276	46056	203345
277	46224	203190
278	46393	203032
279	46565	202894
280	46747	202793
281	46935	202723
282	47098	202539
283	47266	202378
284	47434	202219
285	47617	202123
286	47760	201859
287	47932	201717
288	48106	201581
289	48274	201420
290	48445	201274
291	48645	201247
292	48833	201165
293	49009	201038
294	49203	200985
295	49380	200858
296	49561	200750
297	49762	200719
298	49955	200657
299	50128	200514
300	50303	200378
301	50475	200232
302	50662	200140
303	50848	200046
304	51031	199944
305	51276	200079
306	51446	199920
307	51620	199779
308	51791	199625
309	51973	199512
310	52165	199437
311	52348	199327
312	52536	199236
313	52714	199106
314	52883	198941
315	53072	198854
316	53256	198744
317	53436	198623
318	53610	198476
319	53833	198512
320	54020	198411
321	54195	198266
322	54358	198079
323	54525	197906
324	54698	197756
325	54882	197643
326	55072	197554
327	55255	197435
328	55440	197327
329	55620	197198
330	55797	197060
331	55987	196966
332	56165	196831
333	56339	196680
334	56521	196560
335	56701	196431
336	56890	196332
337	57073	196211
338	57256	196089
339	57422	195912
340	57604	195787
341	57792	195681
342	57964	195525
343	58135	195361
344	58316	195233
345	58493	195089
346	58687	195005
347	58873	194890
348	59025	194666
349	59185	194465
350	59373	194357
351	59554	194228
352	59726	194069
353	59893	193892
354	60057	193707
355	60238	193574
356	60404	193396
357	60573	193227
358	60750	193082
359	60923	192924
360	61094	192760
361	61257	192571
362	61432	192420
363	61592	192223
364	61742	191992
365	61908	191815
366	62075	191638
367	62245	191473
368	62408	191285
369	62577	191114
370	62743	190936
371	62909	190757
372	63083	190603
373	63252	190435
374	63417	190253
375	63576	190052
376	63745	189883
377	63905	189688
378	64071	189509
379	64244	189351
380	64421	189207
381	64588	189032
382	64753	188849
383	64920	188675
384	65085	188495
385	65247	188304
386	65414	188129
387	65592	187987
388	65784	187883
389	65990	187819
390	66205	187780
391	66375	187612
392	66537	187421
393	66712	187269
394	66889	187119
395	67059	186953
396	67232	186793
397	67398	186616
398	67565	186439
399	67746	186303
400	68156	186793
401	68360	186715
402	68525	186532
403	68717	186422
404	68909	186310
405	69070	186116
406	69277	186046
407	69455	185894
408	69636	185753
409	69804	185576
410	69968	185391
411	70148	185245
412	70327	185098
413	70472	184863
414	70631	184663
415	70827	184560
416	70995	184385
417	71197	184295
418	71371	184134
419	71552	183991
420	71723	183824
421	71893	183651
422	72061	183475
423	72228	183296
424	72391	183108
425	72555	182922
426	72720	182738
427	72882	182547
428	73056	182387
429	73220	182199
430	73390	182028
431	73551	181834
432	73732	181691
433	73896	181507
434	74059	181316
